#{"t_start": 1685739311.7708476, "env_id": null}
r,l,t
92055,413,142.033136
20114,87,142.175759
19596,75,142.29544
13428,72,142.411129
47003,204,142.736261
96009,350,143.27183
86406,289,145.557903
24997,84,145.688555
115610,300,146.119403
24319,76,146.239084
84512,352,146.776646
20099,87,146.915276
27215,128,147.112745
31697,168,147.370056
11149,47,147.44885
108247,320,147.94652
47818,273,148.368394
11149,47,148.44818
11315,48,148.527938
11315,48,150.444758
27215,128,150.634253
35115,208,150.9424
20265,88,151.080061
11315,48,151.151868
62621,404,151.732291
35904,247,152.096344
117671,261,152.493285
34949,207,152.8134
19865,408,153.437759
41245,149,155.509974
34600,116,155.683538
11149,47,155.759336
97127,258,156.139318
62624,152,156.366713
-138309,1126,158.064177
25086,84,158.212779
35904,247,160.435647
32165,168,160.688942
60444,1487,162.877095
27044,127,163.081549
27215,128,163.290019
11315,48,165.216676
20265,88,165.35431
11315,48,165.430108
37646,125,165.614583
28154,134,165.815545
46861,160,166.05593
25740,84,166.185696
7749,113,166.359205
72867,200,166.664422
11164,47,166.746198
33603,115,166.926689
36969,165,167.183027
41719,155,167.42638
-1570938,2200,172.544705
19114,72,172.670538
27049,127,172.872969
11315,48,172.956964
11315,48,173.037749
37447,109,173.213252
65732,199,175.353059
37160,164,175.595411
32502,124,175.782883
24835,84,175.911361
25445,84,176.042012
25685,83,176.173661
54897,184,176.450927
27049,127,176.650386
11315,48,176.734136
60861,189,177.020397
11149,47,177.096167
45964,153,177.333561
11149,47,177.41534
41071,246,177.794303
27054,127,177.995007
11315,48,178.076596
36484,149,180.157038
-528521,1477,182.316326
11149,47,182.397082
39629,113,182.573611
117909,311,183.05535
33541,115,185.083943
11149,47,185.159713
20265,88,185.288222
-15730501,5712,197.426622
11144,47,197.510399
11315,48,197.592179
11315,48,197.671968
53621,204,199.832793
47247,165,200.073151
81005,239,200.416234
20099,87,200.549879
11315,48,200.625675
40934,111,200.798186
20094,87,200.935843
16715,74,201.054528
25652,84,201.188171
20099,87,201.324806
49177,166,201.588103
20099,87,201.726732
32792,125,201.923208
20099,87,202.066823
25294,85,202.201466
44084,155,202.440823
68940,263,202.841724
25569,84,204.821462
155681,320,205.283224
24781,105,205.444793
11149,47,205.516573
20265,88,205.650244
56473,152,205.881621
11149,47,205.959391
36871,126,206.15587
119985,319,206.631871
25937,85,206.777482
11149,47,206.856272
38695,116,207.040781
20099,87,207.183398
90165,233,207.539446
126568,393,209.97394
13449,87,210.106589
38270,125,210.296052
20099,87,210.429723
27215,128,210.622208
40171,136,210.831648
20099,87,210.96928
49039,156,211.205649
27049,127,211.403093
11315,48,211.482908
35707,146,211.703291
-170035,1007,215.066576
58423,202,215.3568
11149,47,215.432601
49563,191,215.714843
103251,342,216.233431
20265,88,216.375079
11315,48,216.461819
11315,48,216.541638
27215,128,216.746061
