#{"t_start": 1685744597.0285227, "env_id": null}
r,l,t
-30087,137,0.120137
-329373,193,0.144073
-60323,125,0.158036
-651,87,0.169007
-439061,241,0.198927
-160344,112,0.21192
-154551,207,0.235275
-11700,166,0.254065
-485,88,0.265008
-31785,128,0.279839
-83085,168,0.297763
10815,48,0.30403
-107195,240,0.331956
-1151798,360,0.370851
-168790,94,0.381793
10644,47,0.387777
-114074,113,0.403736
-234958,280,0.439638
-245851,247,0.467098
-4257,125,0.482059
-2333405,758,0.564348
-357156,287,0.595265
26334,73,0.603243
5007,109,0.616208
-513137,364,0.65582
-1623399,320,0.690955
-33571,123,0.70489
-826476,444,0.751791
-31785,128,0.76775
-31785,128,0.782682
-344671,317,0.816592
-651,87,0.827562
-97228,280,0.858511
10664,47,0.864461
-4532335,783,0.950237
10649,47,0.95622
-853585,447,1.005619
10815,48,1.011598
-367865,318,1.046233
-5603,159,1.064188
-218546,192,1.086101
26925,77,1.095105
-12286,162,1.113059
-207022,112,1.125997
-529162,349,1.164921
-917065,479,1.216669
-651,87,1.226672
-356985,288,2.135152
-245685,248,2.164075
10815,48,2.170031
-485,88,2.180094
-60926,206,2.203077
-2379994,667,2.276882
25185,83,2.286861
-123852,265,2.316777
17803,124,2.330712
-24161,117,2.344673
-651,87,2.355644
-616595,317,2.389269
-354331,352,2.428337
-83251,167,2.448505
-1096231,388,2.490428
11740,197,2.511986
-236110,224,2.536978
-111531,197,2.559887
25312,83,2.569343
-26455,74,2.578346
-330726,192,2.599262
-92103,153,2.618272
10649,47,2.624227
41648,120,2.638216
-1815850,576,2.700055
14973,124,2.715906
-742329,414,2.760345
10664,47,2.765305
-3939915,833,2.858057
-245836,247,2.886979
-48764,73,2.894958
-2662448,628,2.962966
-31936,127,2.977953
-31785,128,2.992886
-103808,205,3.015889
-31946,127,3.029855
-103297,205,3.052128
-2817375,758,3.135905
-120320,246,3.16286
-1466904,754,3.248734
-485,88,3.258245
-485,88,3.269215
-1047712,428,3.315694
-651,87,3.325107
-171057,245,3.352038
10815,48,3.36298
-31785,128,3.380959
-31785,128,3.394923
-31785,128,3.409852
-388784,327,3.446409
-604762,428,3.493513
-223172,140,3.509012
-1015472,478,3.560498
-287730,381,3.603283
-586837,399,3.647201
-1213636,487,3.699985
-31785,128,3.714302
10815,48,3.721255
-103585,74,3.729234
-9121,106,3.742025
10644,47,3.747012
-60763,206,3.771004
-485,88,3.780615
4766,112,3.793551
-107751,176,3.813496
39458,158,3.832447
55937,210,3.856381
-1075243,451,3.905252
36738,158,3.923232
-1422493,505,3.978085
-83251,167,3.997139
-31785,128,4.011983
-4185,48,4.017938
-898544,517,4.073789
-203704,298,4.106729
-1446696,587,4.170531
-83085,168,4.188512
-31785,128,4.204531
-653273,241,4.231467
-422426,284,4.261858
5711,154,4.27981
-1002171,448,4.329603
-485,88,4.340546
-492143,326,4.380993
-260128,240,4.407045
-656,87,4.418343
17336,126,4.432334
-31785,128,4.447295
-7850375,1235,4.57994
-488264,328,4.615815
-128757,245,4.642744
-101721,148,4.659698
-154551,207,4.681639
-1002185,448,4.731509
-80123,148,4.748463
-203336,278,4.778993
-11450,135,4.795501
10644,47,4.802481
10815,48,4.808464
-100780,148,4.825419
-55019,164,4.846391
24381,84,4.857233
-87674,106,4.869201
10644,47,4.875185
-323677,285,4.906103
-308322,160,4.925274
-1403303,524,4.983094
-645990,404,5.027569
-94243,151,5.044495
-216152,245,5.071451
10649,47,5.077435
26339,77,5.086383
-396007,318,5.122288
-488451,327,5.159328
-485,88,5.169301
-485,88,5.180288
-221777,235,5.206251
10649,47,5.2132
-83085,168,5.231658
24668,85,5.241631
-31946,127,5.256099
10815,48,5.263241
-379345,301,5.296184
10644,47,5.302166
10815,48,5.30815
-485,88,5.319093
-78029,313,5.353509
-31936,127,5.368498
-31785,128,5.383178
-280965,233,5.410076
-294528,246,5.437622
-488456,327,5.473528
-245685,248,5.510853
-23905,116,5.525782
-716995,212,5.5567
16389,124,5.570696
-270886,248,5.598589
10644,47,5.605599
-83085,168,5.624544
-235367,284,5.655463
17336,126,5.670388
10815,48,5.677689
-7841,195,5.698636
-207524,288,5.730552
-26438,94,5.741555
-1213656,487,5.795914
-485,88,5.805885
-884001,386,5.847772
-651,87,5.858744
-154385,208,5.882679
25323,85,5.892652
-222371,185,5.913597
-31951,127,5.928561
-259430,317,5.964499
-88056,95,5.975499
-172446,209,5.99841
25328,84,6.008947
-31951,127,6.023906
-31785,128,6.038515
-1491520,528,6.096429
-311119,360,6.135678
-323031,322,6.172551
10654,47,6.178535
-485,88,6.188509
-1444785,528,6.246936
-638679,355,6.286966
-4358,146,6.303922
-245851,247,6.330848
-83085,168,6.349799
-31785,128,6.365756
21182,192,6.386996
-243486,168,6.405691
-656,87,6.415692
-485,88,6.42714
-62553,206,6.449959
-511477,357,6.488855
-752934,461,6.539367
-82241,149,6.557158
39256,155,6.57507
-60960,311,6.60901
-2638331,725,7.959423
-154385,208,8.154696
19260,125,8.278965
10815,48,8.325839
-115685,238,8.54343
10649,47,8.586283
10815,48,8.636177
-284525,255,8.867764
-225385,261,9.117755
-146076,341,9.426365
-1153253,520,9.885957
10654,47,9.928382
10815,48,9.975708
-32055,100,10.071123
10644,47,10.117809
-485,88,10.206421
-807086,444,10.599501
-31355,166,10.7611
4683,110,10.866819
-243282,186,11.034996
-149751,245,11.262867
-83085,168,11.425441
-485,88,11.513264
-83085,168,11.671402
-56480,205,11.85851
-133225,246,12.092948
-639746,367,12.421401
-129255,246,12.644929
10815,48,12.693279
-1828336,603,13.223519
-3071630,816,13.936372
-639751,367,14.265999
10815,48,14.314868
10815,48,14.361427
-31785,128,14.48501
-405561,316,14.768431
-2278876,850,15.512149
-651,87,15.597919
41773,157,15.750446
-357136,287,16.010942
-639585,368,16.348881
-151044,225,16.555907
-651,87,16.646199
-98218,188,16.813351
1804,77,16.880144
38190,159,17.036777
-623973,406,17.416798
-31785,128,17.533813
-228787,329,17.836514
18945,126,17.959753
-147209,245,18.190169
10815,48,18.231095
-76485,74,18.303961
-126482,108,18.404256
-39218,85,18.485048
25322,83,18.561914
-31951,127,18.684587
-485,88,18.784356
-748405,404,19.150697
-28681,178,19.311808
-12883,164,19.458447
-486554,282,19.703477
-109585,168,19.856295
10815,48,19.898182
-1475268,610,20.427868
10649,47,20.471395
-30625,165,20.621379
10815,48,20.670248
37591,153,20.808939
10649,47,20.859803
-128737,246,21.079262
-485,88,21.170525
-83085,168,21.330658
-259836,383,21.673053
-261762,244,21.890784
-245851,247,22.120352
-639585,368,22.446573
1839,77,22.525903
-173100,244,22.749702
10649,47,22.799134
-402405,161,22.948336
-124772,204,23.134862
-1444946,527,23.612336
-283299,285,23.891233
-3743409,906,24.700571
-451505,267,24.935646
10649,47,24.984177
-31785,128,25.101461
-31785,128,25.218632
10815,48,25.263079
-80035,205,25.44665
42822,119,25.553396
-211756,243,25.776432
-29434,185,25.951786
24869,84,26.03211
-72131,114,26.141816
-31951,127,26.255956
10815,48,26.302837
-61687,109,26.406556
10644,47,26.448475
1791,77,26.52328
-4159767,858,27.277559
-448871,316,27.562953
-651,87,27.646267
-154385,208,27.840236
-485,88,27.922579
-167085,168,28.080217
10815,48,28.128091
-307790,153,28.271899
10815,48,28.323756
-83085,168,28.481402
-80796,203,28.669465
1726,76,28.74433
25405,83,28.830101
-834802,458,29.230316
-172831,245,29.454375
10649,47,29.505
-485,88,29.591801
-356985,288,29.85472
-317931,325,30.144545
10815,48,30.190422
-23054,114,30.304148
-109777,186,30.473325
-27958,76,30.546373
61972,152,30.688556
-31956,127,30.81177
-160361,113,30.918518
-76026,205,31.108116
21259,119,31.215426
-12387,164,31.373586
-389734,421,31.751029
-31785,128,31.872817
15096,201,32.05801
-31936,127,32.184212
24378,85,32.261573
-811046,407,32.623561
-359830,430,33.006345
-245851,247,33.23758
-45350,138,33.368737
10644,47,33.413622
-31785,128,33.537027
-245685,248,33.764046
25214,86,33.853806
-651,87,33.930634
-485,88,34.017992
-269016,147,34.161176
-3485278,860,34.915932
-430841,324,35.229692
-656,87,35.313039
10815,48,35.365889
-83085,168,35.521925
-47064,113,35.637617
-43520,233,35.857529
-99556,309,36.137676
-33151,87,36.220459
-130131,246,36.458499
-114074,113,36.566299
-23283,72,36.640103
25377,84,36.717456
-264651,153,36.865097
25268,83,36.942426
10649,47,36.99257
23821,120,37.108263
-83071,168,37.265137
-485,88,37.353898
65228,150,37.496112
-88806,158,37.649734
-5875,158,37.795655
1658,269,38.042787
-31951,127,38.162036
1834,73,38.238368
-180578,264,38.476788
26596,76,38.547136
-55019,164,38.701347
-37374,106,38.802044
17585,125,38.919729
-223613,228,39.126665
-512885,396,39.479847
-31936,127,39.603554
-356985,288,39.870902
36944,159,40.020245
10649,47,40.07311
-485,88,40.155916
24668,85,40.23351
-114146,112,40.346207
10649,47,40.394079
-982861,329,40.690062
-14528,139,40.828727
-1204108,522,41.295979
-651,87,41.386732
10815,48,41.432611
2572,271,41.677584
27128,80,41.753863
10644,47,41.799783
-154385,208,41.99425
26723,77,42.075065
-357151,287,42.337987
10815,48,42.387853
18212,127,42.510122
10815,48,42.556994
-760680,445,42.949987
-386042,355,43.279703
-639751,367,43.625681
-485,88,43.715477
-31785,128,43.838205
-154385,208,44.029326
-12965,165,44.183079
-37354,106,44.28999
-651,87,44.371304
-504578,267,44.630411
-639751,367,44.970391
-184470,186,45.153741
-22083,112,45.265075
10649,47,45.311949
-83085,168,45.469559
24337,85,45.55123
-127614,243,45.786933
-356985,288,46.060585
-280916,236,46.285272
-83251,167,46.443432
-336256,388,46.79093
-163596,146,46.931554
-385458,372,47.264154
24413,84,47.344938
-24066,115,47.453677
-83251,167,47.614346
10815,48,47.666208
-3783928,857,48.416886
-488451,327,48.712416
-65493,124,48.837677
-217251,214,49.037241
-13010,166,49.19449
-83085,168,49.355623
-155547,351,49.678608
10644,47,49.725518
-70309,157,49.875648
-238975,285,50.135109
-563383,365,50.464355
10654,47,50.511264
25395,84,50.593041
-31951,127,50.717276
-329350,345,51.031071
-184746,113,51.144305
-636,87,51.230079
-154385,208,51.416608
-12965,165,51.579769
-651,87,51.666538
-10717,165,51.824762
-154385,208,52.022901
-485,88,52.112034
-3949,124,52.22978
-163732,230,52.445799
-816612,403,52.801533
1799,73,52.875336
10644,47,52.922211
-191105,246,53.15476
-53021,74,53.221612
10649,47,53.26805
-1632870,589,53.811176
-83251,167,53.982226
-154385,208,54.183313
25439,84,54.26497
10649,47,54.308881
-71719,159,54.469976
-651,87,54.556777
-192132,263,54.811626
-48715,73,54.877744
10649,47,54.926613
-141150,148,55.068398
-124079,303,55.35569
-83241,167,55.510342
-69391,95,55.60113
-83251,167,55.752755
-154385,208,55.95133
-215986,246,56.181773
-32351,163,56.337058
10649,47,56.38531
10815,48,56.432185
-3899622,918,57.252605
-162081,251,57.488038
1625,76,57.560878
-56408,150,57.711505
-154551,207,57.907578
-50544,200,58.095172
-656,87,58.175524
-111727,238,58.400997
-485,88,58.491412
-63582,205,58.685948
-323331,253,58.920168
-1383309,651,59.504323
-603178,401,59.868984
10654,47,59.925341
-539920,392,60.279074
-651,87,60.368807
10815,48,60.413748
41937,119,60.537987
10644,47,60.581867
-83085,168,60.741493
10815,48,60.79236
24692,87,60.876133
-42438,231,61.092852
-578685,382,61.439553
-5214,124,61.56531
10654,47,61.612186
10815,48,61.658063
-317300,155,61.806271
1609,113,61.91745
-31951,127,62.040183
-2685,48,62.085063
-31785,128,62.207241
-461657,134,62.334364
10649,47,62.381252
-1584547,532,62.862853
-30839,201,63.053964
-74789,186,63.240037
-636,87,63.325811
-222793,238,63.54808
-299539,358,63.884746
-357136,287,64.150642
15095,126,64.278037
-646,87,64.362841
-206292,257,64.601935
10649,47,64.651802
-415243,390,65.013161
-31951,127,65.139076
10815,48,65.188454
-31785,128,65.315149
-5553209,871,66.094262
-154536,207,66.286193
-50321,114,66.397893
-83251,167,66.553813
10815,48,66.598665
10815,48,66.643547
-6048,200,66.828146
-31936,127,66.946962
-89604,113,67.057231
-193514,245,67.282232
-610787,398,67.65589
10649,47,67.704791
-9409,109,67.806519
-5626,160,67.959552
-31956,127,68.08516
10815,48,68.133063
-485,88,68.220361
-126107,227,68.442433
-651,87,68.533304
-54189,165,68.689451
-651,87,68.774845
10815,48,68.823723
-485,88,68.909488
-485,88,68.999389
-31785,128,69.123623
-86741,190,69.297848
-59476,204,69.49281
-31785,128,69.617081
10815,48,69.665475
10815,48,69.713373
-89604,113,69.821199
-485,88,69.909964
10815,48,69.957864
-31785,128,70.085092
-1222210,525,70.569003
10815,48,70.618872
-31785,128,70.743569
-154385,208,70.935594
1965,74,71.010865
-1182958,538,71.505866
-1787175,603,72.045428
10815,48,72.094297
387,125,72.222117
-4599,124,72.348809
10649,47,72.394717
-356985,288,72.670692
-74630,187,72.847793
10815,48,72.901649
-13412,165,73.062848
-646,87,73.150613
-485,88,73.23446
-31785,128,73.362182
-140448,166,73.525157
-154890,245,73.753608
-83246,167,73.915177
-1458258,535,74.400671
-364803,229,74.612169
-586429,398,74.977943
-35614,165,75.141838
-62607,205,75.339258
18379,158,75.492585
-4012,123,75.611668
24171,84,75.69345
-31946,127,75.816688
-485,88,75.907575
-72079,115,76.019991
-651,87,76.105297
-2201210,684,76.721357
25322,83,76.803171
10649,47,76.850045
-315247,266,77.097513
-6042665,983,77.984001
-32080,164,78.146571
-485,88,78.234404
10815,48,78.279843
-446851,153,78.430541
1799,73,78.504962
10644,47,78.551844
24371,86,78.636619
-1144826,554,79.145655
-193677,244,79.37115
-172602,244,79.602633
-336259,296,79.883003
-5340,124,80.005301
-31946,127,80.127973
2119,78,80.201369
2865,156,80.356025
10649,47,80.407729
-4521,125,80.530908
-651,87,80.616706
24501,85,80.702519
-367000,350,81.030841
10644,47,81.081708
15834,126,81.206408
-357151,287,81.470088
-163601,169,81.629645
-656,87,81.72044
-31785,128,81.8457
-749272,201,82.041212
-34974,164,82.205368
-646,87,82.292167
-59518,147,82.435783
-205958,153,82.584955
-639751,367,82.933261
-485,88,83.022027
-1206040,523,83.494629
10815,48,83.543499
-340399,308,83.828312
1399,73,83.905105
-13790,165,84.063739
-42193,109,84.17544
-3938922,675,84.782472
25361,83,84.866252
25449,83,84.942619
18864,125,85.065554
-485,88,85.152321
-314420,322,85.446537
-146031,244,85.683468
-154385,208,85.87957
25439,84,85.964343
-651,87,86.055136
-83085,168,86.212309
-127835,114,86.325037
-245856,247,86.559475
-83085,168,86.718114
-31785,128,86.844841
-137,119,86.964083
-636,87,87.053095
-91587,197,87.237167
10649,47,87.283076
-31785,128,87.415721
10815,48,87.464623
-30285,165,87.627751
-485,88,87.712556
10815,48,87.764208
10815,48,87.811084
-83085,168,87.972249
10815,48,88.022151
-31785,128,88.152362
-31785,128,88.273276
-485,88,88.361608
-31785,128,88.487381
10815,48,88.535849
-169085,245,88.762089
10815,48,88.806969
-485,88,88.896124
-4169,125,89.016928
10649,47,89.066331
-810885,408,89.442395
-1534321,537,89.936787
-534687,298,90.217555
-34174,164,90.37356
-646,87,90.462458
-374473,274,90.713413
10649,47,90.771319
-1130497,485,91.215401
-76551,73,91.285216
-41629,109,91.397484
-81103,147,91.54061
-31951,127,91.667266
5092,108,91.779128
-180191,316,92.128284
17683,125,92.260268
-31785,128,92.386958
-53538,117,92.502067
-21360,194,92.689569
-31771,128,92.813215
10815,48,92.858572
807,84,92.934397
-83251,167,93.094519
-488304,368,93.42757
-154536,207,93.625226
-810885,408,93.993517
-4196,159,94.144621
10644,47,94.188531
-118621,114,94.29925
-1212438,441,94.704638
24808,85,94.786491
-646,87,94.875225
-485,88,94.96581
-485,88,95.055567
-31785,128,95.17738
-679297,174,95.347852
-3683617,657,95.953374
-388406,315,96.249274
-70271,97,96.350003
10649,47,96.397876
-31785,128,96.524532
10815,48,96.5734
14760,197,96.763176
-1137816,449,97.178559
25149,85,97.26595
-254356,231,97.488734
25069,84,97.575038
-222227,277,97.835407
-568844,400,98.210466
-609575,379,98.562046
-651,87,98.653773
10815,48,98.702877
-37597,148,98.845062
-8711,84,98.936414
-334203,174,99.097796
-215035,286,99.368994
-31785,128,99.499183
-485,88,99.585982
-639585,368,99.929666
-154385,208,100.129187
-122549,204,100.319353
-651,87,100.401595
17723,199,100.608081
-689345,405,100.992294
-923374,427,101.420614
-83236,167,101.579818
10815,48,101.626695
16341,109,101.73946
10644,47,101.78684
-5043,126,101.911537
24212,84,102.002293
-474486,286,102.289919
-656,87,102.387657
-78765,205,102.59733
24337,85,102.680529
-321006,356,103.029919
24287,85,103.116225
10654,47,103.163098
-321225,177,103.337675
-76651,73,103.416456
-26251,124,103.547835
10815,48,103.598699
23223,210,103.798457
-31951,127,103.934094
-583033,329,104.23953
-157639,221,104.448471
-101827,72,104.526804
16529,123,104.649476
10649,47,104.699809
1935,77,104.774211
-651,87,104.862008
-4345,125,104.985678
-1444951,527,105.479306
-154385,208,105.678508
-230003,230,105.899544
10649,47,105.953433
10815,48,105.998802
-488285,328,106.310159
-31785,128,106.433338
-83085,168,106.60182
-12251,110,106.721039
-332557,325,107.02486
-31946,127,107.151552
10815,48,107.202424
-61285,189,107.383558
-1147807,404,107.766119
-646,87,107.848899
24626,85,107.935667
10654,47,107.984602
-485,88,108.073919
-485,88,108.158692
10815,48,108.208563
10815,48,108.25803
-31785,128,108.388676
-5991451,1108,109.400019
10649,47,109.448919
-4551216,984,110.350037
-48881,72,110.427393
1159,113,110.548692
-31936,127,110.6704
-41999,186,110.85396
