#{"t_start": 1685743743.5410013, "env_id": null}
r,l,t
40165,135,0.130275
25483,84,0.141244
20099,87,0.152216
18627,74,0.161191
11149,47,0.168201
77328,235,0.195101
45160,100,0.207068
196453,646,0.276885
20099,87,0.288854
35115,208,0.311354
29061,115,0.324319
20099,87,0.334166
62538,151,0.353085
31799,327,0.390016
104387,272,0.420352
139037,431,0.468199
11144,47,0.476178
20265,88,0.485819
52400,295,0.519214
10644,447,0.567113
153934,582,0.631912
258926,692,0.706711
17784,112,0.719676
38972,112,0.732642
25607,465,0.783675
37035,164,0.802625
79320,181,0.823599
20099,87,0.833095
-64753,766,0.917839
24620,443,0.965713
48618,149,0.982698
11144,47,0.98825
42395,166,1.009672
35115,208,1.032638
34627,124,1.046601
39499,123,1.060566
-364217,1232,1.193181
67790,214,1.217092
39018,124,1.2311
11149,47,2.084997
20265,88,2.095939
32165,168,2.114889
21565,114,2.128654
-109792,743,2.20844
48340,145,2.226394
103677,265,2.255314
41887,147,2.27224
29810,112,2.285232
36992,124,2.300519
20104,87,2.310465
27215,128,2.325459
35015,288,2.356369
11315,48,2.36432
50486,138,2.379311
76122,361,2.419175
65083,229,2.444527
34849,287,2.477442
37646,125,2.491406
26754,367,2.530298
44713,277,2.561215
20094,87,2.57515
102070,333,2.614074
55660,205,2.637015
35015,288,2.667933
11315,48,2.675881
35015,288,2.707205
20265,88,2.718142
153922,331,2.755354
20094,87,2.766324
29037,113,2.77929
55080,198,2.80123
11149,47,2.807216
50069,166,2.827162
27215,128,2.841662
32165,168,2.860611
138531,323,2.897512
33541,115,2.911475
11149,47,2.91746
20265,88,2.92843
25252,85,2.938403
19704,407,2.982314
36065,248,3.009214
11315,48,3.015198
35115,208,3.038137
32165,168,3.059109
12515,114,3.072074
55711,406,3.115958
11315,48,3.12291
77714,266,3.152859
84793,190,3.178789
28631,193,3.200702
78565,233,3.235814
-28501,567,3.298238
20265,88,3.309712
45886,130,3.323676
53784,551,3.384049
99795,211,3.408538
72040,324,3.444151
31965,328,3.481026
26969,79,3.49003
32669,124,3.505988
59835,149,3.521943
31999,167,3.540865
20265,88,3.550838
20659,645,3.62168
11315,48,3.627789
27215,128,3.642787
11315,48,3.6488
11315,48,3.655752
20265,88,3.666697
39240,810,3.754462
35015,288,3.786376
20265,88,3.797349
45678,391,3.840233
11149,47,3.84619
11315,48,3.852203
25158,86,3.863143
77819,324,3.898075
25776,153,3.915004
46211,244,3.941992
20104,87,3.953933
75367,233,3.978839
21767,72,3.987845
21767,72,3.996849
27049,127,4.011811
139951,253,4.039741
109309,214,4.062706
15438,518,4.119101
11329,48,4.127096
35015,288,4.158014
38151,164,4.176963
62675,231,4.201903
56974,201,4.225805
211385,570,4.287665
11144,47,4.293652
35015,288,4.32546
11315,48,4.332414
24912,86,4.341957
62224,281,4.383818
-11360,232,4.409364
165123,336,4.448262
36911,124,4.46222
36171,116,4.476182
11164,47,4.482138
21982,73,4.491114
11149,47,4.497573
60577,197,4.519543
20099,87,4.530486
56075,414,4.575366
31799,327,4.611331
11315,48,4.617314
26915,368,4.657743
95828,307,4.692187
16694,87,4.706149
132241,576,4.775529
49219,158,4.79348
11149,47,4.800462
88871,268,4.830412
94763,469,4.882268
52688,204,4.905182
-37101,603,4.971594
11149,47,4.977571
61610,246,5.005438
11315,48,5.011423
25714,86,5.022365
19070,72,5.031594
11149,47,5.037578
11315,48,5.043562
11315,48,5.050543
-28335,568,5.111408
35115,208,5.134382
123739,589,5.199335
11149,47,5.206286
63009,516,5.262738
27049,127,5.277844
42311,317,5.312751
34944,207,5.336715
38384,126,5.351674
37857,164,5.369599
11149,47,5.375582
20265,88,5.386554
66043,238,5.41207
11149,47,5.418203
58710,242,5.445744
87553,277,5.477143
69889,423,5.532954
55007,269,5.562874
11149,47,5.56886
65365,192,5.590771
11149,47,5.596755
25983,84,5.606728
39193,118,5.619694
27049,127,5.635651
31965,328,5.671391
20265,88,5.682364
125190,478,5.734223
19070,72,5.744548
11149,47,5.750531
27215,128,5.764494
80026,375,5.805385
78516,253,5.835304
20099,87,5.845279
59241,205,5.868217
31999,167,5.887609
39559,105,5.900826
29944,153,5.917812
11144,47,5.923765
36065,248,5.951689
115676,352,5.991614
114248,339,6.028565
75202,220,6.05337
41807,265,6.082293
48996,346,6.121937
27044,127,6.1359
24994,86,6.146873
33016,123,6.160864
32967,106,6.1738
24712,84,6.183775
105474,217,6.208732
96627,241,6.236427
42451,119,6.251388
24871,84,6.26136
81492,428,6.307238
11149,47,6.313222
84821,319,6.349823
11149,47,6.355834
20265,88,6.365807
57151,176,6.384728
27541,112,6.398691
46972,162,6.416643
112749,255,6.444594
16849,87,6.45554
39665,124,6.470501
52015,205,6.493467
27215,128,6.508426
11315,48,6.514383
119239,307,6.549162
80680,231,6.576118
34949,207,6.59906
20265,88,6.609833
36065,248,6.637758
11315,48,6.643742
63928,201,7.594558
11164,47,7.648226
16815,74,7.746962
11144,47,7.796828
11315,48,7.857174
11315,48,7.917042
11315,48,7.980872
11315,48,8.046699
11315,48,8.107532
11315,48,8.168373
11315,48,8.233206
11315,48,8.294657
11315,48,8.357026
7265,48,8.418863
11315,48,8.484237
146558,417,8.955387
82375,228,9.21948
20099,87,9.323207
20265,88,9.436473
27215,128,9.590061
11315,48,9.64292
11315,48,9.705752
11315,48,9.768584
71631,134,9.933145
44939,164,10.121696
104602,470,10.637893
37373,147,10.814458
11144,47,10.878287
11315,48,10.94112
20265,88,11.048831
11315,48,11.110667
11315,48,11.171503
11315,48,11.232342
-2950825,2855,14.43714
20114,87,14.545849
37021,126,14.708418
67155,147,14.889467
61993,365,15.324305
25911,85,15.440085
20099,87,15.558723
35015,288,15.900809
24811,77,15.996581
11144,47,16.06041
26935,77,16.149173
399335,735,16.958551
20099,87,17.070248
11315,48,17.130124
11315,48,17.188966
11315,48,17.249339
11315,48,17.311689
27215,128,17.464848
35237,106,17.585572
11144,47,17.639987
11315,48,17.700363
25714,86,17.802447
24705,85,17.91562
11154,47,17.974007
11315,48,18.038863
11315,48,18.102499
10863,174,18.313412
148134,409,18.776679
11149,47,18.839507
27215,128,19.000644
11315,48,19.067463
11315,48,19.131292
11315,48,19.192132
36070,101,19.322211
48818,145,19.508082
-278163,1002,20.707842
11144,47,20.771671
42729,109,20.91641
43647,110,21.054587
11149,47,21.118416
27215,128,21.285631
39021,125,21.443301
26749,367,21.861794
11315,48,21.927615
25807,84,22.04031
25833,84,22.148026
34949,207,22.39337
25955,85,22.506701
11149,47,22.576053
66391,168,22.779505
9694,47,22.839347
11315,48,22.907165
38811,118,23.046853
18461,73,23.138608
11149,47,23.199447
87451,238,23.482907
9714,47,23.546742
11315,48,23.609572
11315,48,23.672408
35115,208,23.924828
35115,208,24.170556
53652,238,24.464397
67196,353,24.881846
29443,107,25.018046
73464,277,25.348604
11149,47,25.418469
22465,328,25.810048
11315,48,25.874847
11315,48,25.939702
11315,48,26.005526
26943,76,26.107254
11149,47,26.171084
57078,191,26.405459
11149,47,26.471253
31879,154,26.665762
37644,124,26.820351
11154,47,26.882183
271619,722,27.716973
48587,152,27.907814
11144,47,27.97663
11315,48,28.041129
25649,85,28.157738
11149,47,28.225361
32967,125,28.386108
11149,47,28.448424
23357,84,28.567173
66593,244,28.853772
29470,104,28.98798
31999,167,29.197034
41170,265,29.526033
25440,84,29.636599
21571,72,29.731771
24464,79,29.8345
11144,47,29.904282
11315,48,29.965272
11315,48,30.033685
11315,48,30.100523
77254,239,30.390507
37938,108,30.53065
11144,47,30.586942
11315,48,30.649773
32165,168,30.864269
38199,165,31.071192
24175,76,31.17292
24127,76,31.28163
20099,87,31.399316
11315,48,31.458191
25965,128,31.620324
11315,48,31.685179
27215,128,31.857257
11315,48,31.925081
11315,48,31.999878
11315,48,32.064703
11315,48,32.131524
11315,48,32.201339
37284,165,32.407814
39168,123,32.566808
11149,47,32.629638
11315,48,32.696465
11315,48,32.761291
25999,85,32.877516
11149,47,32.945355
11315,48,33.008786
36689,193,33.249805
11149,47,33.31061
11315,48,33.377461
11315,48,33.445278
75652,262,33.770599
11144,47,33.837955
11315,48,33.908737
27215,128,34.075319
-28180,756,34.959662
11315,48,35.018507
20265,88,35.142786
11315,48,35.212297
11315,48,35.282055
11315,48,35.347419
11315,48,35.415749
17024,446,35.946931
115111,451,36.484812
11149,47,36.554625
11315,48,36.621947
27215,128,36.783514
11315,48,36.852332
11315,48,36.914654
19334,73,37.014388
11149,47,37.078218
11315,48,37.144078
11315,48,37.211041
11315,48,37.281346
11315,48,37.346202
24953,86,37.457496
11154,47,37.524348
11315,48,37.590172
11315,48,37.656487
11315,48,37.723373
30065,113,37.876189
11149,47,37.941592
20265,88,38.054813
35115,208,38.311432
66821,194,38.546935
11329,48,38.621769
25895,84,38.731573
11149,47,38.798824
61788,198,39.048678
11164,47,39.112507
11315,48,39.181297
11315,48,39.252139
11315,48,39.316967
41089,120,39.469589
11149,47,39.537439
11315,48,39.60426
91637,392,40.076633
26492,74,40.181328
49717,164,40.393343
11149,47,40.455178
11315,48,40.521651
11315,48,40.595486
11315,48,40.663298
11315,48,40.730653
11315,48,40.799018
11315,48,40.864803
21982,73,40.971502
49769,152,41.161965
35223,107,41.304584
11144,47,41.364424
25983,84,41.478121
11149,47,41.544942
11315,48,41.612762
11315,48,41.685002
11315,48,41.751887
11315,48,41.819708
9865,48,41.888552
11315,48,41.957374
7265,48,42.030469
11315,48,42.096326
-5751642,3600,46.615849
11315,48,46.688655
11315,48,46.75847
11315,48,46.827284
11315,48,46.89664
11315,48,46.969936
74192,173,47.191373
-76183,843,48.231271
56340,939,49.403746
11164,47,49.471572
-804081,1541,51.408276
34944,207,51.699605
11315,48,51.771412
11315,48,51.851255
11315,48,51.919533
25851,84,52.037814
11149,47,52.108644
11315,48,52.179524
11315,48,52.253358
24365,74,52.360155
11144,47,52.427448
11315,48,52.506267
65250,186,52.751888
54659,192,53.006126
11149,47,53.075946
11315,48,53.147748
11315,48,53.222089
74449,444,53.778363
11149,47,53.847179
11315,48,53.917988
11315,48,53.987804
8465,48,54.05759
11315,48,54.132418
11315,48,54.204226
11315,48,54.276005
11315,48,54.345852
11315,48,54.414663
11315,48,54.48348
-975528,2051,57.100767
11164,47,57.181521
11315,48,57.259341
11315,48,57.333144
11315,48,57.409939
11315,48,57.480751
20265,88,57.613397
32165,168,57.875669
11315,48,57.947545
11315,48,58.018415
11315,48,58.093215
11315,48,58.167018
11315,48,58.246838
11315,48,58.320643
24871,86,58.439369
11154,47,58.515203
11315,48,58.586241
11315,48,58.659079
11315,48,58.72893
20265,88,58.8541
11315,48,58.919447
26175,85,59.043153
