#{"t_start": 1685736041.1088688, "env_id": null}
r,l,t
20265,88,15.534358
53924,341,15.916487
11144,47,15.971341
11315,48,16.032178
11315,48,16.091555
11315,48,16.15542
11315,48,16.215808
67118,405,16.671579
11154,47,16.731432
11315,48,16.794931
57095,235,17.071774
11164,47,17.134611
27675,76,17.242323
-34089,592,17.913753
24671,84,18.02346
11154,47,18.078344
16715,74,18.169233
11144,47,18.23462
10065,48,18.296427
21413,75,18.400246
60355,148,18.577658
11149,47,18.636498
32165,168,18.844206
81952,177,19.068234
11149,47,19.123605
11315,48,19.187434
27234,79,19.291719
11144,47,19.35455
11315,48,19.418414
11315,48,19.480251
11315,48,19.540095
11315,48,19.601926
11315,48,19.665323
11315,48,19.747135
11315,48,19.80997
90113,152,19.997041
25817,83,20.102752
11149,47,20.15836
11315,48,20.228678
25939,84,20.341372
11149,47,20.409228
11315,48,20.467762
13915,74,20.565498
51048,175,20.788994
16614,73,20.880291
11144,47,20.939161
27525,76,21.034906
11144,47,21.096683
11315,48,21.153671
11315,48,21.214511
74119,252,21.502367
27140,76,21.599136
11144,47,21.658979
11315,48,21.714824
18627,74,21.807579
11149,47,21.864453
11315,48,21.924295
23845,73,22.009069
11149,47,22.076435
11315,48,22.13331
11315,48,22.193147
11315,48,22.251022
11315,48,22.311371
24365,114,22.45137
9694,47,22.510219
11315,48,22.567508
11315,48,22.629399
11315,48,22.693229
11315,48,22.756063
24960,85,22.866612
77254,323,23.254245
11149,47,23.317075
11315,48,23.384234
11315,48,23.450054
11315,48,23.510893
11315,48,23.571729
11315,48,23.632541
27164,77,23.722329
11144,47,23.785161
11315,48,23.843508
11315,48,23.905359
11315,48,23.968222
11315,48,24.026067
11315,48,24.088961
11315,48,24.151394
11315,48,24.210239
11315,48,24.27108
38835,120,24.420297
5849,47,24.485667
11315,48,24.54606
11315,48,24.608402
11315,48,24.669245
11315,48,24.73108
11315,48,24.792428
11315,48,24.852299
11315,48,24.914166
11315,48,24.975006
11315,48,25.041824
11315,48,25.102231
13594,73,25.192307
47613,107,25.331223
11144,47,25.391063
9815,48,25.453894
11315,48,25.515729
11315,48,25.585542
11315,48,25.641657
11315,48,25.709478
11315,48,25.768334
11315,48,25.826738
11315,48,25.896161
36091,146,26.070297
11149,47,26.132129
25649,85,26.242374
-95221,1050,27.430029
47564,146,27.609581
11149,47,27.679376
11315,48,27.736257
11315,48,27.801574
11315,48,27.868429
8565,48,27.93126
9865,48,27.997087
20265,88,28.107824
25851,84,28.218556
11149,47,28.281422
11315,48,28.344251
25178,113,28.493918
27049,127,28.656179
11315,48,28.722004
11315,48,28.784974
11315,48,28.849788
99488,315,29.221977
25240,85,29.332172
18434,72,29.424487
11149,47,29.483329
40363,148,29.675413
11149,47,29.734255
11315,48,29.799459
11315,48,29.865346
11315,48,29.933914
42585,106,30.072553
34949,207,30.327519
11315,48,30.388388
11315,48,30.452217
13915,128,30.617401
16587,73,30.723119
20099,87,30.832865
25993,606,31.544647
11154,47,31.623443
11315,48,31.691297
11315,48,31.760108
20265,88,31.878882
11315,48,31.944282
-3054959,2602,35.097331
11315,48,35.166209
11315,48,35.234028
28085,78,35.342274
11144,47,35.405451
11315,48,35.467259
11315,48,35.537602
11315,48,35.601456
9865,48,35.66828
11315,48,35.734136
11315,48,35.799962
11315,48,35.860833
11315,48,35.927482
11315,48,35.995301
11315,48,36.057136
11315,48,36.121211
11315,48,36.188623
84429,231,36.482414
31999,167,36.700427
26027,84,36.821104
-298881,1275,38.337923
9829,48,38.407303
11315,48,38.473132
11315,48,38.536961
118835,313,38.921973
11164,47,38.984802
20265,88,39.105479
11315,48,39.167345
21982,73,39.265645
27049,127,39.438215
11315,48,39.505036
11315,48,39.569864
20265,88,39.690606
11315,48,39.753999
11315,48,39.818951
11315,48,39.883812
11315,48,39.948177
32165,168,40.16947
31235,94,40.295135
56971,160,40.505174
11149,47,40.567571
11315,48,40.636419
11315,48,40.697253
11315,48,40.764077
72085,445,41.298505
26663,75,41.40229
11149,47,41.470109
11315,48,41.537899
11315,48,41.607655
11315,48,41.672532
18579,74,41.773261
11149,47,41.832611
41939,101,41.96629
11144,47,42.031115
27065,74,42.125922
11149,47,42.19228
11315,48,42.261096
75870,439,42.790899
8299,47,42.855763
11315,48,42.920623
11315,48,42.986447
11315,48,43.049843
67886,235,43.346344
31814,327,43.754508
21786,73,43.855335
32649,113,44.01099
11164,47,44.072154
11315,48,44.138009
26663,75,44.245229
11149,47,44.311054
11315,48,44.390868
16715,74,44.485181
11144,47,44.554996
10015,48,44.618282
63021,183,44.855331
11144,47,44.931097
9815,48,44.99895
9765,48,45.070154
11315,48,45.145493
67433,326,45.597336
11154,47,45.667213
11315,48,45.736032
24912,86,45.861146
20104,87,45.998137
115490,349,46.45414
11164,47,46.521929
61335,152,46.720812
11149,47,46.784641
11315,48,46.85246
11315,48,46.918316
20265,88,47.036163
49635,165,47.248687
11149,47,47.310521
11315,48,47.380367
74046,321,47.780896
11144,47,47.844205
20265,88,47.969481
11315,48,48.033311
11315,48,48.097126
11315,48,48.16953
11315,48,48.243336
11315,48,48.310186
11315,48,48.373827
11315,48,48.439214
11315,48,48.505604
39497,124,48.670168
11149,47,48.73796
64489,180,48.974366
11149,47,49.037227
63557,196,49.294174
11149,47,49.354045
11315,48,49.422511
19187,73,49.523802
11149,47,49.589168
11315,48,49.650568
11315,48,49.717952
10015,48,49.786769
19334,73,49.883545
44249,193,50.135468
11144,47,50.200295
11315,48,50.268653
11315,48,50.335495
11315,48,50.402355
20265,88,50.52702
36065,248,50.843247
11315,48,50.90567
74685,229,51.208491
8494,47,51.267336
11315,48,51.3307
11315,48,51.401734
11315,48,51.466561
11315,48,51.530422
11315,48,51.598242
11315,48,51.664631
56940,283,52.042253
38724,124,52.225471
39925,125,52.40508
11315,48,52.474893
27311,77,52.591584
11144,47,52.658572
8015,1056,53.98656
11144,47,54.055407
11315,48,54.117789
11315,48,54.185607
11315,48,54.25742
11315,48,54.323804
11315,48,54.401626
11315,48,54.469444
11315,48,54.540255
66895,362,55.006768
11144,47,55.076579
11315,48,55.146615
92110,253,55.479421
39872,155,55.706954
47310,165,55.932417
11154,47,56.003228
31576,137,56.191301
40245,118,56.34645
11144,47,56.416296
25807,84,56.53398
11149,47,56.6043
11315,48,56.67315
46802,205,56.9415
27196,80,57.059749
11144,47,57.128596
11315,48,57.198411
11315,48,57.26723
11315,48,57.340202
-2479836,2426,60.516831
11144,47,60.588639
36500,147,60.792128
11144,47,60.858514
27886,125,61.040856
11149,47,61.1042
42700,120,61.278299
11329,48,61.35166
11315,48,61.420483
21415,114,61.580654
8394,47,61.652523
11315,48,61.719344
11315,48,61.792152
11315,48,61.8615
11315,48,61.931528
11315,48,62.000345
61042,215,62.309631
25521,84,62.436315
11149,47,62.506128
11315,48,62.574509
62707,169,62.806484
37366,152,63.007504
9899,47,63.086326
33045,124,63.259889
11149,47,63.337173
11315,48,63.407014
20265,88,63.530249
11315,48,63.600491
11315,48,63.671368
44522,142,63.865442
11144,47,63.933293
47853,245,64.263055
11315,48,64.336024
11315,48,64.405434
11315,48,64.477803
33408,590,65.260115
11144,47,65.330489
49129,148,65.538964
11149,47,65.600363
54073,151,65.809409
11149,47,65.885241
11315,48,65.962573
11315,48,66.0374
53666,245,66.372584
11315,48,66.446949
11315,48,66.524742
11315,48,66.594662
22226,86,66.726234
11154,47,66.794615
22745,114,66.955192
29490,106,67.107354
11144,47,67.177173
11315,48,67.246986
11315,48,67.319301
11315,48,67.388115
11315,48,67.462476
11315,48,67.529303
11315,48,67.599669
11315,48,67.669487
25522,107,67.82666
42843,118,67.991597
11144,47,68.060445
25274,87,68.185688
11154,47,68.255497
9865,48,68.325342
64660,243,68.648971
9915,48,68.723363
9865,48,68.792179
11315,48,68.86056
66558,239,69.184326
54103,156,69.400349
21646,76,69.507629
9644,47,69.580437
11315,48,69.653278
27215,128,69.833363
11315,48,69.901209
32165,168,70.132227
20265,88,70.26425
46659,98,70.406417
11144,47,70.475261
11315,48,70.547066
20265,88,70.675323
20265,88,70.80854
34444,97,70.9462
11144,47,71.022964
27920,79,71.138279
11144,47,71.214075
11315,48,71.280898
11315,48,71.352284
9915,48,71.425404
11315,48,71.501234
11315,48,71.571195
11315,48,71.650572
11315,48,71.723379
9915,48,71.795192
11315,48,71.869023
70716,399,72.42137
66095,363,72.937653
20265,88,73.069359
11315,48,73.154238
11315,48,73.232031
11315,48,73.312352
11315,48,73.38968
25939,84,73.516372
11149,47,73.59323
11315,48,73.670555
11315,48,73.747385
11315,48,73.819219
11315,48,73.888843
11315,48,73.970136
11315,48,74.040895
8565,48,74.111186
11315,48,74.180574
11315,48,74.251943
11315,48,74.320268
11315,48,74.38959
11315,48,74.459404
39053,125,74.636987
11315,48,74.705378
11315,48,74.775154
11315,48,74.849398
11315,48,74.921451
11315,48,74.998218
11315,48,75.068063
11315,48,75.13891
11315,48,75.21069
16765,74,75.319458
11144,47,75.383262
8565,48,75.458096
11315,48,75.527911
11315,48,75.599226
11315,48,75.671038
119431,405,76.207304
11149,47,76.279111
62066,238,76.605345
11149,47,76.680616
16815,74,76.786333
21566,72,76.891117
11149,47,76.96093
51515,165,77.188352
11315,48,77.26116
11315,48,77.327461
11315,48,77.401981
54990,205,77.682311
11315,48,77.755949
11315,48,77.826324
11315,48,77.896701
32673,107,78.053761
139179,311,78.477252
33622,106,78.628658
