#{"t_start": 1685742080.982526, "env_id": null}
r,l,t
13013,57,0.127798
11315,48,0.133783
66293,222,0.15672
103998,205,0.177665
33437,114,0.192625
48639,138,0.207584
35899,247,0.233515
27215,128,0.247478
38353,125,0.261441
101101,266,0.288904
76644,196,0.308888
20099,87,0.318866
73515,198,0.340775
37398,124,0.35374
35904,247,0.377676
63483,210,0.399623
27049,127,0.413613
72802,313,0.445527
68419,324,0.479235
45678,151,0.495167
36483,405,0.536918
41301,204,0.557866
25729,83,0.566601
132509,427,0.609486
41179,203,0.631428
48559,237,0.655363
72924,285,0.684258
21730,76,0.692267
31994,167,0.710218
64935,238,0.737117
66147,245,0.761593
72468,310,0.802453
20099,87,0.813425
27215,128,0.827387
63119,270,0.85534
115373,293,0.885309
11149,47,0.892293
59405,205,0.914232
22106,78,0.92221
19694,407,0.962081
95137,227,0.986017
20099,87,0.995991
11315,48,1.000977
45766,115,1.013951
11149,47,1.020532
27215,128,1.033502
51040,203,1.054444
25682,85,1.063449
11149,47,1.070402
11315,48,1.075389
-179405,956,1.169144
21247,74,1.178093
35899,247,2.074615
20265,88,2.085078
21982,73,2.093056
36911,124,2.106021
75699,283,2.134945
137220,461,2.181849
25408,85,2.191231
32004,167,2.208188
157519,576,2.268027
20099,87,2.278
57730,208,2.300966
20099,87,2.310911
30221,406,2.351803
49228,164,2.367759
-5934,755,2.441565
52691,324,2.473509
26414,73,2.483454
53539,227,2.506392
43159,197,2.527336
55328,132,2.541327
-13806,511,2.592744
34949,207,2.613698
24365,74,2.622669
66488,344,2.657784
42891,115,2.670779
29299,113,2.683143
76575,320,2.714826
20114,87,2.724826
36065,248,2.751754
32165,168,2.768682
35115,208,2.789655
40445,147,2.804585
20099,87,2.815584
66285,231,2.83952
20099,87,2.848468
51759,245,2.873402
35904,247,2.900356
35707,194,2.920304
16849,87,2.930251
37646,125,2.943215
20104,87,2.954215
35015,288,2.983137
32165,168,3.000572
20265,88,3.009575
18595,73,3.019521
31999,167,3.036013
27215,128,3.049976
27215,128,3.062851
76195,523,3.126265
40467,187,3.145724
72713,342,3.179666
27049,127,3.193628
11315,48,3.200609
20265,88,3.214572
11315,48,3.21956
20265,88,3.229533
32165,168,3.248481
104786,587,3.307324
92975,228,3.329265
11164,47,3.33525
27215,128,3.35021
71319,326,3.382124
20265,88,3.392125
41831,684,3.459467
13428,72,3.468443
27049,127,3.481408
27215,128,3.49537
19865,408,3.535945
11315,48,3.542899
25294,85,3.552313
11154,47,3.557298
27215,128,3.571288
11315,48,3.57821
81519,374,3.616108
39745,154,3.632067
27049,127,3.645668
24837,85,3.65564
32004,167,3.672595
93733,549,3.727477
27215,128,3.741439
87520,151,3.761386
34844,287,3.79028
16215,88,3.800254
50052,161,3.817208
27049,127,3.831172
46836,205,3.852144
11315,48,3.858099
11315,48,3.863086
681,639,3.927936
25734,83,3.936889
31999,167,3.954841
80617,172,3.972793
20099,87,3.983326
59183,236,4.006986
119374,358,4.043861
-13285,528,4.095899
68785,191,4.11684
31799,327,4.154735
11315,48,4.160641
27215,128,4.173606
60016,147,4.190621
31999,167,4.207575
234424,541,4.263427
11144,47,4.268414
81670,461,4.317255
20094,87,4.32623
73629,353,4.361898
19168,72,4.370847
31999,167,4.388798
11315,48,4.39481
27215,128,4.408745
54599,404,4.448667
42083,121,4.462602
20099,87,4.471577
11315,48,4.477561
20265,88,4.486538
11315,48,4.493519
11315,48,4.499531
11315,48,4.504517
11315,48,4.509476
71445,323,4.542958
20265,88,4.552849
97089,203,4.573761
37629,107,4.585756
31994,113,4.598694
64459,241,4.623628
31999,167,4.640583
59771,198,4.661554
76314,325,4.695436
74250,219,4.718374
31005,232,4.748907
24712,84,4.757883
80919,315,4.790793
42580,164,4.807721
107878,304,4.838639
56703,443,4.883548
24874,85,4.893494
25734,83,4.902497
29689,156,4.918451
27044,127,4.932389
56804,206,4.954331
27054,127,4.968329
11315,48,4.973313
50379,165,4.99137
39463,112,5.006305
11149,47,5.011291
31965,328,5.044234
47476,166,5.062184
32004,167,5.080135
42063,599,5.139977
47392,186,5.159894
33153,106,5.170865
11144,47,5.177847
39348,112,5.190813
24828,85,5.199815
20104,87,5.209794
26071,84,5.219734
51234,482,5.278607
11154,47,5.283622
54825,193,5.303048
35899,247,5.330003
20265,88,5.339949
26663,75,5.347929
34645,116,5.360921
47868,185,5.38084
24316,72,5.388819
262230,1051,5.493576
72918,236,5.517511
11144,47,5.525458
11315,48,5.530474
129789,735,5.60331
-18503,718,5.674854
27715,114,5.687819
25716,84,5.696823
31999,167,5.71375
35115,208,5.735703
25168,85,5.746646
11154,47,5.75263
83285,434,5.795515
139723,306,5.83045
7491,565,5.888269
38969,125,5.901356
29905,107,5.912261
44644,163,5.929188
11149,47,5.936202
35115,208,5.95814
16787,153,5.974421
31999,167,5.991435
20265,88,6.002346
39137,125,6.015369
35115,208,6.036983
88264,529,6.089037
34949,207,6.112004
20265,88,6.12174
-19186,511,6.172489
101088,313,6.204428
20099,87,6.214375
25807,84,6.223043
56805,325,6.25468
43228,109,6.266622
11149,47,7.073073
11315,48,7.129116
-476600,1319,8.55225
11149,47,8.608102
24389,77,8.693902
11149,47,8.75075
11315,48,8.812585
11315,48,8.87043
11315,48,8.926282
11315,48,8.983137
16765,74,9.071897
11144,47,9.126782
72611,215,9.36953
11144,47,9.422392
11315,48,9.482229
11315,48,9.540074
11315,48,9.596971
27215,128,9.743579
11315,48,9.796439
11315,48,9.854284
-1904805,2126,12.137964
11154,47,12.202791
11315,48,12.276567
11315,48,12.336311
31965,328,12.708641
11315,48,12.767483
11315,48,12.829319
11315,48,12.895114
-3237,631,13.597297
25949,83,13.70399
11149,47,13.764854
11315,48,13.831676
42043,246,14.129482
11149,47,14.18932
11315,48,14.254145
69461,323,14.619457
7254,47,14.686275
2640,753,15.515463
11149,47,15.573338
11315,48,15.63623
25042,85,15.744946
11154,47,15.801787
11315,48,15.860632
11315,48,15.923462
40301,205,16.167809
11154,47,16.231638
25955,85,16.340348
25877,84,16.444858
50573,187,16.669271
27049,127,16.823427
49543,165,17.025888
11315,48,17.083708
19285,73,17.179478
11149,47,17.246833
11315,48,17.308805
11315,48,17.372635
11315,48,17.435467
11315,48,17.501291
11315,48,17.573099
11315,48,17.635931
11315,48,17.69976
71520,405,18.162563
11149,47,18.225386
77137,746,19.094341
25763,85,19.216677
11149,47,19.279508
11315,48,19.347865
11315,48,19.408703
20265,88,19.517411
25042,85,19.630112
