#{"t_start": 1685731503.1320486, "env_id": null}
r,l,t
47218,214,1.962597
35904,247,2.279863
20265,88,2.395553
154756,529,3.067791
20099,87,3.189974
36065,248,3.503907
32165,168,3.719716
238620,436,4.281998
20265,88,6.553515
11315,48,6.643275
137426,281,7.047196
118311,341,7.48702
64913,364,7.940809
20104,87,8.051541
34944,113,8.196154
20099,87,8.315807
37158,125,8.499345
11154,47,8.572152
11315,48,8.644926
11315,48,8.712745
11315,48,8.782587
20265,88,8.906228
66936,267,11.130312
11144,47,11.207107
37216,520,11.956106
76429,544,12.741978
20099,87,12.881606
20265,88,13.018239
33133,124,13.20574
16421,72,13.320433
58093,204,13.625645
31999,167,13.888941
52935,195,16.068118
16749,87,16.204752
119228,577,17.03753
133438,384,17.599027
20099,87,17.731675
20265,88,17.871299
33521,96,18.036856
27049,127,18.234329
11315,48,18.316111
11315,48,18.395869
82053,249,18.775882
41054,313,21.144552
49401,156,21.379924
27049,127,21.571411
67057,284,21.986303
20099,87,22.121912
32165,168,22.379252
11315,48,22.459039
92005,225,22.839994
11149,47,22.91881
97593,422,23.578049
62994,242,23.984962
20100,112,24.160465
40171,106,26.226943
24794,73,26.338644
30149,447,26.987936
11149,47,27.063732
21769,85,27.197377
20104,87,27.334012
31965,328,27.833677
27065,74,27.960338
34849,287,28.404149
11315,48,28.492915
65823,277,28.929747
11149,47,29.028456
20265,88,29.181048
76282,226,31.407127
27049,127,31.597618
45652,229,31.942696
25828,84,32.073347
11149,47,32.14615
115473,311,32.602932
177157,383,33.189365
25789,84,33.323007
20099,87,33.464601
11315,48,33.542394
76564,480,34.277429
116369,256,36.552383
27044,127,36.742868
45835,153,36.974251
137240,748,38.079298
70763,360,38.626807
20499,127,38.833254
20265,88,38.97989
11315,48,39.067628
24919,85,39.202296
54504,283,41.545036
20095,112,41.711564
42194,316,42.169367
27044,127,42.357864
43154,121,42.537387
26765,112,42.706931
55127,285,43.138749
11154,47,43.222553
-99676,882,46.438929
11154,47,46.510737
10065,48,46.586563
35115,208,46.891747
36065,248,47.264751
64411,547,48.078549
11149,47,48.157365
20265,88,48.296993
26915,368,48.875446
20265,88,49.019063
11315,48,49.100816
39665,124,49.298288
20099,87,51.316922
11315,48,51.392693
38353,125,51.579222
34949,207,51.887399
13594,73,52.001094
43459,193,52.292317
16564,73,52.409003
39018,124,52.606476
49593,164,52.862791
11149,47,52.943578
58205,326,53.43626
32165,168,53.707537
73330,286,54.145364
24465,114,54.327876
11144,47,54.410655
21413,75,56.416295
46939,229,56.753396
11164,47,56.836174
35115,208,57.145347
11315,48,57.223142
24811,77,57.340825
138542,349,57.860436
35115,208,58.185567
62955,227,58.536634
20099,87,58.677253
20265,88,58.814857
-45385,608,61.622386
73589,278,62.031263
60393,158,62.264638
11164,47,62.339438
70161,176,62.597779
51224,164,62.843121
-1417,752,63.966092
43484,119,64.163592
31994,167,64.427885
76982,333,66.805536
116576,183,67.078803
21290,74,67.195462
11149,47,67.279266
31965,328,67.766963
18579,74,67.889635
