#{"t_start": 1685734233.8941262, "env_id": null}
r,l,t
35115,208,150.268891
17554,565,153.023501
62875,393,153.605101
31999,167,153.85344
11315,48,153.930229
32165,168,154.198512
52665,150,154.434977
25949,83,154.570614
43960,232,154.926261
19699,407,155.554584
11315,48,155.63337
68642,362,158.074803
20076,113,158.247469
11149,47,158.322272
63551,240,158.679317
61791,242,159.043349
20104,87,159.176557
68441,232,159.533698
27044,127,159.736258
40329,215,160.072887
20094,87,160.213541
95886,321,160.716271
84549,430,163.257495
37073,124,163.445964
33546,115,163.620497
-401,487,164.338148
44029,116,164.519696
44664,165,164.774119
11315,48,164.852878
26991,76,164.983556
31999,167,165.24486
11315,48,165.324644
20265,88,165.470228
32165,168,165.736116
64710,140,165.958555
27117,78,166.096844
53626,140,168.194448
27049,127,168.387929
25807,84,168.51459
24876,84,168.642287
11154,47,168.718088
91555,291,169.156054
20099,87,169.294248
66737,237,169.660837
46147,178,169.93607
21247,74,170.057746
35899,247,170.438787
11315,48,170.517608
20265,88,170.659793
21933,73,170.780005
53700,244,171.165078
35115,208,173.358494
20265,88,173.495662
27215,128,173.68827
34565,114,173.869872
49750,205,174.175161
64717,166,174.426999
70291,248,174.811942
32947,116,174.995478
34949,207,175.318217
11315,48,175.399038
49454,166,175.663363
27920,79,175.794026
25478,84,175.931254
43278,119,176.123279
72287,587,178.872033
38771,124,179.061558
65609,282,179.477011
34949,207,179.794192
115356,544,180.631526
35894,247,181.018515
92216,547,183.715175
32801,124,183.902729
42887,165,184.147949
11315,48,184.225745
24811,77,184.353936
35594,152,184.589439
177954,289,185.025275
38855,124,185.222749
16649,73,185.342399
37113,164,185.600281
155156,467,186.331566
54412,229,188.546287
31994,167,188.797633
35015,288,189.224557
105756,259,189.612186
31999,167,189.880498
27215,128,190.081931
11315,48,190.159724
105887,252,190.546286
39107,124,190.74775
27049,127,190.950725
60796,201,191.269502
51495,430,193.810521
50511,316,194.296585
38992,148,194.524004
41044,405,195.134347
