#{"t_start": 1685778080.9142165, "env_id": null}
r,l,t
1213,97,0.16748
-717430,426,0.215352
10649,47,0.22231
-83085,168,0.24349
-26289,75,0.25446
-126654,205,0.280419
-197056,247,0.3095
-391119,192,0.331441
10649,47,0.33942
-154385,208,0.362358
2167,78,0.372332
-219972,284,0.404776
-410846,247,0.434695
-648099,232,0.461623
-1644815,603,0.543408
-175056,173,0.563355
-488451,327,0.601255
9820,144,0.618209
10644,47,0.624194
42777,120,0.639163
-656,87,0.651126
25323,85,0.661099
10649,47,0.667083
-485,88,0.677057
-485,88,0.689026
-200115,208,0.71296
10815,48,0.718972
-485,88,0.729915
-980637,483,0.783811
10654,47,0.789755
-485,88,0.800727
-485,88,0.811696
-245685,248,0.841617
-10257,162,0.859569
-31951,127,0.876523
-23215,73,0.8855
10649,47,0.893478
38579,161,0.912427
10664,47,0.918439
-118771,114,0.932374
-660554,397,0.978251
-320423,225,1.004182
-267817,192,1.027122
-651,87,1.037122
-485,88,1.049062
-485,88,1.059064
-356985,288,1.091947
-31785,128,1.107905
-1391749,564,1.171735
16589,158,1.189687
-1389846,561,1.253103
-116415,239,1.281027
-488451,327,1.319504
-387015,186,1.341418
5333,108,2.290632
-154556,207,2.313542
-23913,117,2.328502
-572386,418,2.379368
10664,47,2.38538
-35075,108,2.398317
-181908,316,2.436215
10649,47,2.442708
-516813,391,2.493572
24544,84,2.503544
-835128,347,2.544437
-74401,113,2.5574
-247281,310,2.59433
-141153,94,2.608265
-184290,196,2.632201
-651,87,2.645704
-573488,325,2.686594
-156721,146,2.70355
10649,47,2.71053
-83085,168,2.730476
-233091,176,2.750423
37756,154,2.779346
-598111,316,2.817245
10664,47,2.824227
-47262,197,2.847165
-31956,127,2.861128
25565,186,2.884067
-651,87,2.894039
-315465,250,2.923959
-651,87,2.933962
-45558,158,2.953988
-252928,305,2.98779
-103453,204,3.010674
10649,47,3.016989
-6509,160,3.035938
15054,124,3.05087
10654,47,3.057852
-485,88,3.067825
10815,48,3.076801
-16770,178,3.096748
-219787,265,3.127696
10649,47,3.133651
-76385,74,3.143651
-68697,158,3.162573
-83071,168,3.183516
-149585,168,3.202466
-485,88,3.214433
-485,88,3.225522
10815,48,3.232503
-279007,387,3.275389
-222188,312,3.311293
-83085,168,3.330242
18233,134,3.346732
-428982,280,3.382637
-104414,205,3.406574
10815,48,3.413553
-172389,155,3.431506
-639751,367,3.473396
-485,88,3.484365
-31785,128,3.500322
10815,48,3.516279
-485,88,3.52725
10815,48,3.534231
-3747755,881,3.633965
-245851,247,3.661907
10815,48,3.66789
10815,48,3.674872
-572404,379,3.716759
10664,47,3.722744
-485,88,3.733714
25615,84,3.745682
-154551,207,3.770152
10815,48,3.776108
10815,48,3.783089
-52661,178,3.80408
-344859,323,3.839937
425,148,3.856922
10649,47,3.863904
-262480,285,3.896816
-120693,105,3.909781
-656,87,3.919755
68556,142,3.937707
-31951,127,3.9539
-1659,153,3.97285
-545996,173,3.992796
-55347,164,4.012741
-48876,72,4.022716
-340636,354,4.061613
-24572,117,4.076573
-648672,347,4.117464
-245851,247,4.149379
1664,77,4.159352
-488820,306,4.195284
-488451,327,4.232655
-1216671,522,4.291075
10815,48,4.298057
25020,85,4.308031
-143661,147,4.325982
-245851,247,4.35514
